instances,provider_id,workload,vm_type,percentile,cpubusy,membusy
1,c3_2xlarge,10000000,,0.0049634,83.6859765,0.8734024392
1,c3_2xlarge,20000000,,0.0040702,88.40087028,0.7944653162
1,c3_2xlarge,30000000,,0.0039869,92.06245521,0.7153378669
1,c3_2xlarge,40000000,,0.003935925,92.35821915,0.6517300919
1,c3_2xlarge,50000000,,0.00390122,89.2946104,0.5023225372
1,c3_large,10000000,,0.0114438,100,0.5180284151
1,c3_large,20000000,,0.01088915,100,0.3754059304
1,c3_large,30000000,,0.0114743,100,0.4080631973
1,c3_large,40000000,,0.011352275,100,0.3777726126
1,c3_large,50000000,,0.0111684,100,0.3312498962
1,c3_xlarge,10000000,,0.0064521,100,0.7545379677
1,c3_xlarge,20000000,,0.00579175,100,0.580634892
1,c3_xlarge,30000000,,0.00580013333333333,100,0.4325310712
1,c3_xlarge,40000000,,0.00621485,100,0.2809241534
1,c3_xlarge,50000000,,0.00638362,100,0.2256053522
1,m3_2xlarge,10000000,,0.0051136,81.12591,0.9331679129
1,m3_2xlarge,20000000,,0.0042883,93.6719062,0.8918843217
1,m3_2xlarge,30000000,,0.004096,91.91181615,0.8511269106
1,m3_2xlarge,40000000,,0.0038843,91.4052971,0.8206852877
1,m3_2xlarge,50000000,,0.00375536,93.95045519,0.7753254141
1,m3_large,10000000,,0.0111083,100,0.733641273
1,m3_large,20000000,,0.0100086,100,0.5467096842
1,m3_large,30000000,,0.00980763333333333,100,0.401307238
1,m3_large,40000000,,0.00957655,100,0.2309289317
1,m3_large,50000000,,0.00957254,100,0.2003844111
1,m3_medium,10000000,,0.0302893,100,0.5255586778
1,m3_medium,20000000,,0.02648715,100,0.345014133
1,m3_medium,30000000,,0.0268812,100,0.1953802205
1,m3_medium,40000000,,0.02572745,100,0.3292468434
1,m3_medium,50000000,,0.02546454,100,0.190098412
1,m3_xlarge,10000000,,0.0069202,100,0.8708339166
1,m3_xlarge,20000000,,0.0060617,100,0.7820706768
1,m3_xlarge,30000000,,0.00588826666666667,100,0.7016519017
1,m3_xlarge,40000000,,0.00563245,100,0.6146508428
1,m3_xlarge,50000000,,0.0054809,100,0.5322146813
2,c3_2xlarge,10000000,,0.0043241,65.7504566,0.8792185088
2,c3_2xlarge,20000000,,0.00387145,84.5012963,0.8123404348
2,c3_2xlarge,30000000,,0.0033475,91.494716,0.7431557967
2,c3_2xlarge,40000000,,0.003368275,94.75397726,0.6681424404
2,c3_2xlarge,50000000,,0.00332686,92.3119643,0.5876121654
2,c3_large,10000000,,0.0096104,100,0.5453902203
2,c3_large,20000000,,0.0081841,100,0.8212225229
2,c3_large,30000000,,0.00812196666666667,100,0.6513584971
2,c3_large,40000000,,0.0082233,100,0.766130649
2,c3_large,50000000,,0.00796098,100,0.5881458361
2,c3_xlarge,10000000,,0.0061712,100,0.7601822467
2,c3_xlarge,20000000,,0.00519295,100,0.6267249019
2,c3_xlarge,30000000,,0.00501346666666667,100,0.5157700468
2,c3_xlarge,40000000,,0.00500325,100,0.4898344385
2,c3_xlarge,50000000,,0.00488958,100,0.4473349985
2,m3_2xlarge,10000000,,0.0051374,51.4739345,0.9331003304
2,m3_2xlarge,20000000,,0.0041679,93.3752142,0.8986675702
2,m3_2xlarge,30000000,,0.00346303333333333,96.2600808,0.866604226
2,m3_2xlarge,40000000,,0.00319085,93.62396615,0.8284545959
2,m3_2xlarge,50000000,,0.00306356,96.36101794,0.7906146434
2,m3_large,10000000,,0.0092533,100,0.7723744136
2,m3_large,20000000,,0.00734445,100,0.6123228803
2,m3_large,30000000,,0.00673996666666667,100,0.4948930924
2,m3_large,40000000,,0.006587025,100,0.4849293192
2,m3_large,50000000,,0.0067273,100,0.3890962187
2,m3_medium,10000000,,0.0197885,100,0.5897333621
2,m3_medium,20000000,,0.01841815,100,0.8299611706
2,m3_medium,30000000,,0.0168857333333333,100,0.6459776031
2,m3_medium,40000000,,0.017042675,100,0.8203998323
2,m3_medium,50000000,,0.01649406,100,0.6176422428
2,m3_xlarge,10000000,,0.0063143,99.8747495,0.8806252823
2,m3_xlarge,20000000,,0.0048746,100,0.8114365925
2,m3_xlarge,30000000,,0.0041443,100,0.7482786349
2,m3_xlarge,40000000,,0.004075775,100,0.6641993242
2,m3_xlarge,50000000,,0.00381928,100,0.5842782338
3,c3_2xlarge,10000000,,0.0049315,47.84472,0.8831661701
3,c3_2xlarge,20000000,,0.00362005,64.601114,0.8129401134
3,c3_2xlarge,30000000,,0.0031663,91.8608915,0.7445142873
3,c3_2xlarge,40000000,,0.003281425,89.5769502,0.6803559996
3,c3_2xlarge,50000000,,0.00326322,91.2682393,0.5913982519
3,c3_large,10000000,,0.0081925,100,0.5901671869
3,c3_large,20000000,,0.00805935,100,0.7975136763
3,c3_large,30000000,,0.00717846666666667,100,0.8150327069
3,c3_large,40000000,,0.007108925,100,0.7234858547
3,c3_large,50000000,,0.00702554,100,0.7448663086
3,c3_xlarge,10000000,,0.0052955,98.93201036,0.773669066
3,c3_xlarge,20000000,,0.00455205,100,0.6285714435
3,c3_xlarge,30000000,,0.00451366666666667,100,0.4849435238
3,c3_xlarge,40000000,,0.00478125,100,0.5381003584
3,c3_xlarge,50000000,,0.00463242,100,0.5288846229
3,m3_2xlarge,10000000,,0.0048316,55.6341914,0.9340600073
3,m3_2xlarge,20000000,,0.00396175,65.0013352,0.9002583885
3,m3_2xlarge,30000000,,0.00332516666666667,87.0171135,0.8669490549
3,m3_2xlarge,40000000,,0.003056425,93.84612072,0.8352454989
3,m3_2xlarge,50000000,,0.00301956,91.851107,0.8013682804
3,m3_large,10000000,,0.0079205,100,0.7769643168
3,m3_large,20000000,,0.0067518,100,0.6308808869
3,m3_large,30000000,,0.00594856666666667,100,0.5242680861
3,m3_large,40000000,,0.006222775,100,0.5079975894
3,m3_large,50000000,,0.00575636,100,0.4695173633
3,m3_medium,10000000,,0.0173743,100,0.5996961723
3,m3_medium,20000000,,0.0142703,100,0.5768337581
3,m3_medium,30000000,,0.0151179666666667,100,0.8932203249
3,m3_medium,40000000,,0.0149499,100,0.791464184
3,m3_medium,50000000,,0.01403478,100,0.834519728
3,m3_xlarge,10000000,,0.0054604,97.08129796,0.8842480278
3,m3_xlarge,20000000,,0.00448325,100,0.8129349709
3,m3_xlarge,30000000,,0.00393253333333333,100,0.7472581501
3,m3_xlarge,40000000,,0.00392975,100,0.6799617373
3,m3_xlarge,50000000,,0.00381632,100,0.6102973356
4,c3_2xlarge,10000000,,0.0044265,30.2979735,0.9015401422
4,c3_2xlarge,20000000,,0.0036862,46.0002886,0.8613932314
4,c3_2xlarge,30000000,,0.00319453333333333,75.6718054,0.81177678
4,c3_2xlarge,40000000,,0.00301755,67.5257222,0.7698877132
4,c3_2xlarge,50000000,,0.0034442,79.6856087,0.7068653319
4,c3_large,10000000,,0.0066043,99.9,0.6428327135
4,c3_large,20000000,,0.0076204,100,0.6509963558
4,c3_large,30000000,,0.0065531,100,0.7854925538
4,c3_large,40000000,,0.006650275,100,0.8075385592
4,c3_large,50000000,,0.00679582,100,0.8105700666
4,c3_xlarge,10000000,,0.0048097,69.2625752,0.8546908235
4,c3_xlarge,20000000,,0.00495055,99.90481213,0.698701431
4,c3_xlarge,30000000,,0.0041997,100,0.5747993213
4,c3_xlarge,40000000,,0.00440805,100,0.5884282385
4,c3_xlarge,50000000,,0.00460476,99.93355668,0.5163354095
4,m3_2xlarge,10000000,,0.0045523,34.3457504,0.9495540694
4,m3_2xlarge,20000000,,0.0036019,54.5309304,0.9214447427
4,m3_2xlarge,30000000,,0.0033604,53.8610954,0.8978734951
4,m3_2xlarge,40000000,,0.00305905,76.2097048,0.8978841674
4,m3_2xlarge,50000000,,0.00286078,85.2670054,0.8479636137
4,m3_large,10000000,,0.0064743,99.65985966,0.8078546037
4,m3_large,20000000,,0.00689625,100,0.7458176165
4,m3_large,30000000,,0.005675,100,0.5802007126
4,m3_large,40000000,,0.00547875,100,0.5153312719
4,m3_large,50000000,,0.00554076,100,0.5397211936
4,m3_medium,10000000,,0.012863,100,0.71527689
4,m3_medium,20000000,,0.01428555,100,0.5935770735
4,m3_medium,30000000,,0.0129161,100,0.5822421615
4,m3_medium,40000000,,0.01291455,100,0.8923771199
4,m3_medium,50000000,,0.01349818,100,0.8733972257
4,m3_xlarge,10000000,,0.0050657,67.67524,0.904274525
4,m3_xlarge,20000000,,0.00467415,99.97993982,0.8458771673
4,m3_xlarge,30000000,,0.0039768,100,0.7973076407
4,m3_xlarge,40000000,,0.003588375,100,0.7601132296
4,m3_xlarge,50000000,,0.00370528,100,0.7198489233
